"Anodizado"
"Fecha: 10-Jan-2014 10:20:27"
""
"6.000000e+001	3.627650e-003"
"6.000000e+001	3.666650e-003"
"6.000000e+001	3.664190e-003"
"6.000000e+001	3.669790e-003"
"6.000000e+001	3.666480e-003"
"6.000000e+001	3.661470e-003"
"6.000000e+001	3.635920e-003"
"6.000000e+001	3.620410e-003"
"6.000000e+001	3.662500e-003"
"6.000000e+001	3.666890e-003"
"6.000000e+001	3.662440e-003"
"6.000000e+001	3.656850e-003"
"6.000000e+001	3.658260e-003"
"6.000000e+001	3.624430e-003"
"6.000000e+001	3.656110e-003"
"6.000000e+001	3.657270e-003"
"6.000000e+001	3.659970e-003"
"6.000000e+001	3.653800e-003"
"6.000000e+001	3.652190e-003"
"6.000000e+001	3.639170e-003"
"6.000000e+001	3.614140e-003"
"6.000000e+001	3.660600e-003"
"6.000000e+001	3.657580e-003"
"6.000000e+001	3.651670e-003"
"6.000000e+001	3.652980e-003"
"6.000000e+001	3.650420e-003"
"6.000000e+001	3.632990e-003"
"6.000000e+001	3.610680e-003"
"6.000000e+001	3.658450e-003"
"6.000000e+001	3.652710e-003"
"6.000000e+001	3.652820e-003"
"6.000000e+001	3.649860e-003"
"6.000000e+001	3.652960e-003"
"6.000000e+001	3.625830e-003"
"6.000000e+001	3.639680e-003"
"6.000000e+001	3.645260e-003"
"6.000000e+001	3.644860e-003"
"6.000000e+001	3.641320e-003"
"6.000000e+001	3.644150e-003"
"6.000000e+001	3.627940e-003"
"6.000000e+001	3.601560e-003"
"6.000000e+001	3.639030e-003"
"6.000000e+001	3.638340e-003"
"6.000000e+001	3.636010e-003"
"6.000000e+001	3.635510e-003"
"6.000000e+001	3.631070e-003"
"6.000000e+001	3.604910e-003"
"6.000000e+001	3.610470e-003"
"6.000000e+001	3.637730e-003"
"6.000000e+001	3.636530e-003"
"6.000000e+001	3.637730e-003"
"6.000000e+001	3.631200e-003"
"6.000000e+001	3.631860e-003"
"6.000000e+001	3.589140e-003"
"6.000000e+001	3.612920e-003"
"6.000000e+001	3.634160e-003"
"6.000000e+001	3.638690e-003"
"6.000000e+001	3.629390e-003"
"6.000000e+001	3.625890e-003"
"6.000000e+001	3.607920e-003"
"6.000000e+001	3.609520e-003"
"6.000000e+001	3.636250e-003"
"6.000000e+001	3.624760e-003"
"6.000000e+001	3.626260e-003"
"6.000000e+001	3.622420e-003"
"6.000000e+001	3.618360e-003"
"6.000000e+001	3.589150e-003"
"6.000000e+001	3.609540e-003"
"6.000000e+001	3.636670e-003"
"6.000000e+001	3.625550e-003"
"6.000000e+001	3.627070e-003"
"6.000000e+001	3.625200e-003"
"6.000000e+001	3.622230e-003"
"6.000000e+001	3.586450e-003"
"6.000000e+001	3.615240e-003"
"6.000000e+001	3.616300e-003"
"6.000000e+001	3.619480e-003"
"6.000000e+001	3.619100e-003"
"6.000000e+001	3.623030e-003"
"6.000000e+001	3.607440e-003"
"6.000000e+001	3.583520e-003"
"6.000000e+001	3.608030e-003"
"6.000000e+001	3.618670e-003"
"6.000000e+001	3.619910e-003"
"6.000000e+001	3.621130e-003"
"6.000000e+001	3.621870e-003"
"6.000000e+001	3.580140e-003"
"6.000000e+001	3.588590e-003"
"6.000000e+001	3.616470e-003"
"6.000000e+001	3.612110e-003"
"6.000000e+001	3.615800e-003"
